,Unnamed: 0,project_number,location_name,year_range,from,to,from_lat_long,to_lat_long,from_blockgroup,to_blockgroup
13,13,[170 -02] 38784,S Aberdeen St And W 107th St,2014-2018,S Aberdeen St And W 107th St,None,"[41.699563, -87.64991]",None,170317501002,None
14,14,[170 -02] 3204,On E 130th St From S Torrence Ave To S Brandon Ave,2016-2020,E 130th St And S Torrence Ave,E 130th St And S Brandon Ave,"[41.6585765, -87.5591909]","[41.658976137741, -87.5631430490206]",170315502002,170315502002
15,15,[170 -02] 3204,On S Brandon Ave From E 130th St To S Brainard Ave,2016-2020,S Brandon Ave And E 130th St,S Brandon Ave And S Brainard Ave,"[41.7492661500018, -87.5467837497093]","[41.648535, -87.546007]",170314601001,170315502002
16,16,[170 -02] 32926,On N Wolcott Ave From W Lawrence Ave To W Balmoral Ave,2016-2020,N Wolcott Ave And W Lawrence Ave,N Wolcott Ave And W Balmoral Ave,"[41.9688297, -87.6762187]","[41.979728, -87.676518]",170310404025,170310401001
17,17,[170 -02] 32926,On W Foster Ave From N Wolcott Ave To N Ravenswood Ave,2016-2020,W Foster Ave And N Wolcott Ave,W Foster Ave And N Ravenswood Ave,"[41.9760901, -87.6764218]","[41.9761161, -87.6743967]",170310401002,170310309004
18,18,[170 -02] 32926,On N Wolcott Ave From W Lawrence Ave To W Winnemac Ave,2016-2020,N Wolcott Ave And W Lawrence Ave,N Wolcott Ave And W Winnemac Ave,"[41.9688297, -87.6762187]","[42.0193747, -87.6776559500011]",170310404025,170310102012
19,19,[170 -02] 32989,On E 77th St From S Blackstone Ave To S Dante Ave,2016-2020,E 77th St And S Blackstone Ave,E 77th St And S Dante Ave,"[41.7551191, -87.58828]","[41.7550853, -87.5895002]",170318342004,170318342004
20,20,[170 -02] 32989,On S Blackstone Ave From E 76th St To E 77th St,2016-2020,S Blackstone Ave And E 76th St,S Blackstone Ave And E 77th St,"[41.756908, -87.588338]","[41.7551191, -87.58828]",170318342004,170318342004
21,21,[170 -02] 33346,On N Lavergne Ave From W Lawrence Ave To W Montrose Ave,2016-2020,N Lavergne Ave And W Lawrence Ave,N Lavergne Ave And W Montrose Ave,"[41.9679628, -87.7526526]","[41.960674, -87.752378]",170311502002,170311502004
22,22,[170 -02] 33346,N Cicero Ave And W Lawrence Ave,2016-2020,N Cicero Ave And W Lawrence Ave,None,"[41.968033, -87.7477398]",None,170311204003,None
23,23,[170 -02] 33467,On N Claremont Ave From W Eastwood Ave To W Wilson Ave,2016-2020,N Claremont Ave And W Eastwood Ave,N Claremont Ave And W Wilson Ave,"[41.965767, -87.687537]","[41.96491, -87.687542]",170310406003,170310406002
24,24,[170 -02] 33467,On W Leland Ave From N Lincoln Ave To N Leavitt St,2016-2020,W Leland Ave And N Lincoln Ave,W Leland Ave And N Leavitt St,"[41.9668515, -87.6873947]","[41.9668657, -87.6839924]",170310406003,170310406003
25,25,[170 -02] 33467,On W Lawrence Ave From N Oakley Ave To N Leavitt St,2016-2020,W Lawrence Ave And N Oakley Ave,W Lawrence Ave And N Leavitt St,"[41.9686202, -87.686456]","[41.9686617, -87.6840145]",170310406003,170310406003
26,26,[170 -02] 35683,On E 69th St From S Langley Ave To S St Lawrence Ave,2016-2020,E 69th St And S Langley Ave,E 69th St And S St Lawrence Ave,"[41.7694538, -87.6081473]","[41.76937890000001, -87.61046285]",170314212002,170314212002
27,27,[170 -02] 35683,On S Langley Ave From E 68th St To E 67th St,2016-2020,S Langley Ave And E 68th St,S Langley Ave And E 67th St,"[41.77127, -87.608168]","[41.773078, -87.608196]",170314212002,170314212001
28,28,[170 -02] 36174,On E 101st St From S Avenue N To S Ewing Ave,2016-2020,E 101st St And S Avenue N,E 101st St And S Ewing Ave,"[41.711957, -87.53892]","[41.711966, -87.535283]",170315202002,170315202002
29,29,[170 -02] 36174,S Avenue J And E 99th St,2016-2020,S Avenue J And E 99th St,None,"[41.715841, -87.534026]",None,170315201001,None
30,30,[170 -02] 36174,On E 99th St From S Ewing Ave To S Avenue J,2016-2020,E 99th St And S Ewing Ave,E 99th St And S Avenue J,"[41.715797, -87.535281]","[41.715841, -87.534026]",170315202003,170315201001
31,31,[170 -02] 37794,On E 100th St From S Avenue N To S Ewing Ave,2016-2020,E 100th St And S Avenue N,E 100th St And S Ewing Ave,"[41.713861, -87.538895]","[41.7135376, -87.535274]",170315202003,"[41.7135376, -87.535274]"
32,32,[170 -02] 37794,On W 106th St From S Lowe Ave To S Wallace St,2016-2020,W 106th St And S Lowe Ave,W 106th St And S Wallace St,"[41.701496, -87.639021]","[41.701519, -87.637822]",170314911005,170314911005
33,33,[170 -02] 37794,On W 109th St From S Ashland Ave To S Vincennes Ave,2016-2020,W 109th St And S Ashland Ave,W 109th St And S Vincennes Ave,"[41.6957833, -87.6619343]","[41.695763, -87.660786]",170317501003,170317501003
34,34,[170 -02] 37794,On W 47th St From S Paulina St To S Honore St,2016-2020,W 47th St And S Paulina St,W 47th St And S Honore St,"[41.808612, -87.66741]","[41.80858, -87.671065]",170316104001,170316103003
35,35,[170 -02] 37794,On W 52nd St From S Francisco Ave To S Richmond St,2016-2020,W 52nd St And S Francisco Ave,W 52nd St And S Richmond St,"[41.799147, -87.696395]","[41.799126, -87.697617]",170316304001,170316304001
36,36,[170 -02] 37794,On W 52nd St From S Richmond St To S Sacramento Ave,2016-2020,W 52nd St And S Richmond St,W 52nd St And S Sacramento Ave,"[41.799126, -87.697617]","[41.799105, -87.698837]",170316304001,170316304004
37,37,[170 -02] 37794,On W 53rd St From S Richmond St To S Kedzie Ave,2016-2020,W 53rd St And S Richmond St,W 53rd St And S Kedzie Ave,"[41.7972868, -87.6975644]","[41.7971428, -87.7036535]",170316304001,170316304003
38,38,[170 -02] 37794,On W 58th St From S Halsted St To S Carpenter St,2016-2020,W 58th St And S Halsted St,W 58th St And S Carpenter St,"[41.788861, -87.645025]","[41.788789, -87.651058]",170318347001,170316805002
39,39,[170 -02] 37794,On W 66th St From S Pulaski Rd To S Hamlin Ave,2016-2020,W 66th St And S Pulaski Rd,W 66th St And S Hamlin Ave,"[41.773182, -87.722698]","[41.773242, -87.717729]",170316503014,170316503022
40,40,[170 -02] 37794,On W 77th St From S Ashland Ave To S Laflin St,2016-2020,W 77th St And S Ashland Ave,W 77th St And S Laflin St,"[41.754002, -87.663474]","[41.754014, -87.661932]",170317103001,170317103001
41,41,[170 -02] 37794,On W 78th Pl From S Kedvale Ave To S Keeler Ave,2016-2020,W 78th Pl And S Kedvale Ave,W 78th Pl And S Keeler Ave,"[41.7500171, -87.7247375]","[41.750155, -87.726112]",170317002004,170317002004
42,42,[170 -02] 37794,On W 81st St From S Kenneth Ave To S Kolmar Ave,2016-2020,W 81st St And S Kenneth Ave,W 81st St And S Kolmar Ave,"[41.745671, -87.7324794]","[41.7452931, -87.7349368]",170317003013,170317003013
43,43,[170 -02] 37794,On S Union Ave From W 106th St To W 105th St,2016-2020,S Union Ave And W 106th St,S Union Ave And W 105th St,"[41.701473, -87.640253]","[41.702771, -87.640275]",170314911005,170314911005
44,44,[170 -02] 37794,On W Addison St From N Elston Ave To N Spaulding Ave,2016-2020,W Addison St And N Elston Ave,W Addison St And N Spaulding Ave,"[41.946631, -87.708802]","[41.946613, -87.709816]",170311608002,170311608002
45,45,[170 -02] 37794,On W Arthington St From S Karlov Ave To S Keeler Ave,2016-2020,W Arthington St And S Karlov Ave,W Arthington St And S Keeler Ave,"[41.8699867, -87.7277669]","[41.8699594, -87.7302033]",170312610002,170312610002
46,46,[170 -02] 37794,On W Barry Ave From N Drake Ave To N Gresham Ave,2016-2020,W Barry Ave And N Drake Ave,W Barry Ave And N Gresham Ave,"[41.937429, -87.716124]","[41.937471, -87.712972]",170312106013,170312106013
47,47,[170 -02] 37794,On W Carmen Ave From N Central Park Ave To N Drake Ave,2016-2020,W Carmen Ave And N Central Park Ave,W Carmen Ave And N Drake Ave,"[41.9738313, -87.7184006]","[41.9732749, -87.7171681]",170318318005,170318318005
48,48,[170 -02] 37794,On W Chase Ave From N Paulina St To N Clark St,2016-2020,W Chase Ave And N Paulina St,W Chase Ave And N Clark St,"[42.0138243, -87.6724049]","[42.013787, -87.674847]",170310102022,170310102022
49,49,[170 -02] 37794,On W Lexington St From S Kilbourn Ave To S Kolmar Ave,2016-2020,W Lexington St And S Kilbourn Ave,W Lexington St And S Kolmar Ave,"[41.8715298, -87.7378268]","[41.8715075, -87.7389825]",170312610001,170312610001
50,50,[170 -02] 37794,On W Palatine Ave From N Natoma Ave To N Newcastle Ave,2016-2020,W Palatine Ave And N Natoma Ave,W Palatine Ave And N Newcastle Ave,"[41.995511, -87.7919665]","[41.995151, -87.7967186]",170311002002,170311002007
51,51,[170 -02] 37794,On W Palmer St From N Kilpatrick Ave To N Knox Ave,2016-2020,W Palmer St And N Kilpatrick Ave,W Palmer St And N Knox Ave,"[41.9206205, -87.7437499]","[41.9206405, -87.742559]",170311910001,170311910001
52,52,[170 -02] 37794,On W Polk St From S Pulaski Rd To S Karlov Ave,2016-2020,W Polk St And S Pulaski Rd,W Polk St And S Karlov Ave,"[41.870952, -87.725327]","[41.8709134, -87.7277991]",170312609002,170312610002
53,53,[170 -02] 37794,On W Roscoe St From N Greenview Ave To N Bosworth Ave,2016-2020,W Roscoe St And N Greenview Ave,W Roscoe St And N Bosworth Ave,"[41.943378, -87.666325]","[41.943366, -87.667534]",170310624001,170318319001
54,54,[170 -02] 37794,On W Roscoe St From N Marshfield Ave To N Bosworth Ave,2016-2020,W Roscoe St And N Marshfield Ave,W Roscoe St And N Bosworth Ave,"[41.943344, -87.669969]","[41.943366, -87.667534]",170318319002,170318319001
55,55,[170 -02] 37794,On W Winona St From N Ravenswood Ave To N Paulina St,2016-2020,W Winona St And N Ravenswood Ave,W Winona St And N Paulina St,"[41.974803, -87.674903]","[41.975193, -87.672035]",170310404021,170310310001
56,56,[170 -02] 37794,On W Argyle St From N California Ave To N Mozart St,2016-2020,W Argyle St And N California Ave,W Argyle St And N Mozart St,"[41.972188, -87.698814]","[41.972172, -87.700037]",170310403003,170310403003
57,57,[170 -02] 37794,On S St Louis Ave From W 80th Pl To W 81st Pl,2016-2020,S St Louis Ave And W 80th Pl,S St Louis Ave And W 81st Pl,"[41.7469494, -87.7096541]","[41.74515, -87.709606]",170317004011,170317004011
58,58,[170 -02] 37794,N Mayfield Ave And W Madison St,2016-2020,N Mayfield Ave And W Madison St,None,"[41.880088, -87.771732]",None,170312521011,None
59,59,[170 -02] 37794,On S Princeton Ave From W 59th St To W 59th Pl,2016-2020,S Princeton Ave And W 59th St,S Princeton Ave And W 59th Pl,"[41.787176, -87.632821]","[41.786347, -87.632804]",170318346003,170318346003
60,60,[170 -02] 37794,On E 88th St From S East End Ave To S Constance Ave,2016-2020,E 88th St And S East End Ave,E 88th St And S Constance Ave,"[41.735135, -87.582849]","[41.73521, -87.57932]",170314801002,170314801002
61,61,[170 -02] 37794,On E 99th St From S Ewing Ave To S Avenue J,2016-2020,E 99th St And S Ewing Ave,E 99th St And S Avenue J,"[41.715797, -87.535281]","[41.715841, -87.534026]",170315202003,170315201001
62,62,[170 -02] 37794,On N Bernard St From W Grace St To W Irving Park Rd,2016-2020,N Bernard St And W Grace St,N Bernard St And W Irving Park Rd,"[41.950203, -87.714012]","[41.953907, -87.714143]",170311608005,170311605023
63,63,[170 -02] 37794,On N Davlin Ct From W Barry Ave To N Milwaukee Ave,2016-2020,N Davlin Ct And W Barry Ave,N Davlin Ct And N Milwaukee Ave,"[41.936691, -87.724922]","[41.938538, -87.72291]",170312105012,170312105012
64,64,[170 -02] 37794,On N Drake Ave From W Carmen Ave To W Foster Ave,2016-2020,N Drake Ave And W Carmen Ave,N Drake Ave And W Foster Ave,"[41.9738397, -87.7172033]","[41.975607, -87.717228]",170318318005,170318318004
65,65,[170 -02] 37794,On N Greenview Ave From W Henderson St To W Roscoe St,2016-2020,N Greenview Ave And W Henderson St,N Greenview Ave And W Roscoe St,"[41.942503, -87.666305]","[41.943378, -87.666325]",170310624001,170310624001
66,66,[170 -02] 37794,On S St Louis Ave From W 75th St To W 76th St,2016-2020,S St Louis Ave And W 75th St,S St Louis Ave And W 76th St,"[41.7569201, -87.7099547]","[41.7551703, -87.7098815]",170317001001,170317001001
67,67,[170 -02] 37794,On N Overhill Ave From W Birchwood Ave To W Howard St,2016-2020,N Overhill Ave And W Birchwood Ave,N Overhill Ave And W Howard St,"[42.0168859, -87.8187884]","[42.018696, -87.818782]",170310901004,170310901004
68,68,[170 -02] 37794,On N Troy St From W Devon Ave To W Arthur Ave,2016-2020,N Troy St And W Devon Ave,N Troy St And W Arthur Ave,"[41.997408, -87.708197]","[41.999239, -87.708247]",170310207021,170310203012
69,69,[170 -02] 37794,On N Washtenaw Ave From W Carmen Ave To W Winona St,2016-2020,N Washtenaw Ave And W Carmen Ave,N Washtenaw Ave And W Winona St,"[41.9740186, -87.6964149]","[41.9747895, -87.696441]",170310402012,170310402012
70,70,[170 -02] 37794,On S Aberdeen St From W 107th St To W 107th Pl,2016-2020,S Aberdeen St And W 107th St,S Aberdeen St And W 107th Pl,"[41.699563, -87.64991]","[41.698637, -87.649885]",170317501002,170317501002
71,71,[170 -02] 37794,On S Ashland Ave From W 108th Pl To W 109th Pl,2016-2020,S Ashland Ave And W 108th Pl,S Ashland Ave And W 109th Pl,"[41.696677, -87.661981]","[41.6946078, -87.661905]",170317502001,170317501003
72,72,[170 -02] 37794,On N Leclaire Ave From W Diversey Ave To W Oakdale Ave,2016-2020,N Leclaire Ave And W Diversey Ave,N Leclaire Ave And W Oakdale Ave,"[41.931449, -87.753968]","[41.934204, -87.754048]",170311902004,170311902003
73,73,[170 -02] 37794,On S Clark St From W 21st St To S Archer Ave,2016-2020,S Clark St And W 21st St,S Clark St And S Archer Ave,"[41.6380745000001, -87.6244875000644]","[41.855159, -87.630161]","[41.6380745000001, -87.6244875000644]",170318411001
74,74,[170 -02] 37794,On S Damen Ave From W 83rd St To W 82nd St,2016-2020,S Damen Ave And W 83rd St,S Damen Ave And W 82nd St,"[41.742944, -87.672979]","[41.744765, -87.673029]",170317112004,170317112004
75,75,[170 -02] 37794,On S Eggleston Ave From W 105th St To W 104th St,2016-2020,S Eggleston Ave And W 105th St,S Eggleston Ave And W 104th St,"[41.703395, -87.634229]","[41.705181, -87.634296]",170314911001,170314911001
76,76,[170 -02] 37794,On S Green St From W 107th St To W 106th St,2016-2020,S Green St And W 107th St,S Green St And W 106th St,"[41.699629, -87.643833]","[41.701443, -87.643888]",170317501001,170317307001
77,77,[170 -02] 37794,On S Hamlin Blvd From W Wilcox St To W Monroe St,2016-2020,S Hamlin Blvd And W Wilcox St,S Hamlin Blvd And W Monroe St,"[41.878944, -87.720751]","[41.879834, -87.720799]",170312705001,170312608001
78,78,[170 -02] 37794,On S Hoyne Ave From W 71st Pl To W 73rd St,2016-2020,S Hoyne Ave And W 71st Pl,S Hoyne Ave And W 73rd St,"[41.763863, -87.675957]","[41.761136, -87.6758571]",170316720004,170316720004
79,79,[170 -02] 37794,On S Hoyne Ave From W 73rd St To W 72nd Pl,2016-2020,S Hoyne Ave And W 73rd St,S Hoyne Ave And W 72nd Pl,"[41.761136, -87.6758571]","[41.7620324, -87.6758786]",170316720004,170316720004
80,80,[170 -02] 37794,On S Karlov Ave From W Polk St To W Lexington St,2016-2020,S Karlov Ave And W Polk St,S Karlov Ave And W Lexington St,"[41.8709134, -87.7277991]","[41.8718042, -87.727842]",170312610002,170312610002
81,81,[170 -02] 37794,On S Kildare Ave From W Harrison St To W Flournoy St,2016-2020,S Kildare Ave And W Harrison St,S Kildare Ave And W Flournoy St,"[41.8733499, -87.7327647]","[41.8724564, -87.7327479]",170312606002,170312610001
82,82,[170 -02] 37794,On S Mason Ave From W Arthington St To W Roosevelt Rd,2016-2020,S Mason Ave And W Arthington St,S Mason Ave And W Roosevelt Rd,"[41.8691324, -87.7730355]","[41.865493, -87.77285]",170318314002,170318314002
83,83,[170 -02] 37794,On S Princeton Ave From W 59th Pl To W 60th Pl,2016-2020,S Princeton Ave And W 59th Pl,S Princeton Ave And W 60th Pl,"[41.786347, -87.632804]","[41.784527, -87.632733]",170318346003,170318346003
84,84,[170 -02] 37794,On S Central Park Ave From W 75th St To W 78th St,2016-2020,S Central Park Ave And W 75th St,S Central Park Ave And W 78th St,"[41.7568928, -87.7120345]","[41.7514803, -87.7119487]",170317001001,170317001001
85,85,[170 -02] 37794,On W 78th Pl From S Kedvale Ave To S Karlov Ave,2016-2020,W 78th Pl And S Kedvale Ave,W 78th Pl And S Karlov Ave,"[41.7500171, -87.7247375]","[41.750114, -87.7241687]",170317002004,170317002004
86,86,[170 -02] 37794,On W 73rd St From S Whipple St To S Kedzie Ave,2016-2020,W 73rd St And S Whipple St,W 73rd St And S Kedzie Ave,"[41.7607989, -87.6990261]","[41.760748, -87.702544]",170316611003,170316611003
87,87,[170 -02] 37794,On W 58th St From S Peoria St To S Sangamon St,2016-2020,W 58th St And S Peoria St,W 58th St And S Sangamon St,"[41.788804, -87.6474523]","[41.78882, -87.6486432]",170318347002,170318347002
88,88,[170 -02] 37794,On W 58th Pl From S Hamlin Ave To S Central Park Ave,2016-2020,W 58th Pl And S Hamlin Ave,W 58th Pl And S Central Park Ave,"[41.78692, -87.718063]","[41.787005, -87.713446]",170316204002,170316204002
89,89,[170 -02] 37794,On W 106th St From S Green St To S Peoria St,2016-2020,W 106th St And S Green St,W 106th St And S Peoria St,"[41.701443, -87.643888]","[41.701431, -87.645101]",170317307001,170317307001
90,90,[170 -02] 37794,On W 52nd St From S Kedzie Ave To S Troy St,2016-2020,W 52nd St And S Kedzie Ave,W 52nd St And S Troy St,"[41.799038, -87.703717]","[41.799053, -87.702512]",170316303001,170316304004
91,91,[170 -02] 37794,On W 52nd St From S Albany Ave To S Whipple St,2016-2020,W 52nd St And S Albany Ave,W 52nd St And S Whipple St,"[41.799062, -87.701266]","[41.79908, -87.700051]",170316304004,170316304004
92,92,[170 -02] 37794,On W 18th St From S Wentworth Ave To S Clark St,2016-2020,W 18th St And S Wentworth Ave,W 18th St And S Clark St,"[41.857752, -87.6318983]","[41.857787, -87.630227]",170318411001,170313302002
93,93,[170 -02] 37794,On W 107th St From S Morgan St To S Racine Ave,2016-2020,W 107th St And S Morgan St,W 107th St And S Racine Ave,"[41.699583, -87.647486]","[41.699532, -87.652354]",170317501002,170317501002
94,94,[170 -02] 37794,On W 52nd St From S Troy St To S Albany Ave,2016-2020,W 52nd St And S Troy St,W 52nd St And S Albany Ave,"[41.799053, -87.702512]","[41.799062, -87.701266]",170316304004,170316304004
95,95,[170 -02] 37794,On W 81st Pl From S Kostner Ave To S Kenneth Ave,2016-2020,W 81st Pl And S Kostner Ave,W 81st Pl And S Kenneth Ave,"[41.7440317, -87.7311419]","[41.744916, -87.7329643]",170317003013,170317003013
96,96,[170 -02] 37794,On W Wilcox St From S Hamlin Blvd To S Springfield Ave,2016-2020,W Wilcox St And S Hamlin Blvd,W Wilcox St And S Springfield Ave,"[41.878944, -87.720751]","[41.878911, -87.723152]",170312705001,170312608001
97,97,[170 -02] 37794,On W Ardmore Ave From N Austin Ave To N Melvina Ave,2016-2020,W Ardmore Ave And N Austin Ave,W Ardmore Ave And N Melvina Ave,"[41.9865498, -87.7779736]","[41.9864891, -87.7828064]",170311001003,170311001003
98,98,[170 -02] 37794,On W Argyle St From N Mozart St To N Francisco Ave,2016-2020,W Argyle St And N Mozart St,W Argyle St And N Francisco Ave,"[41.972172, -87.700037]","[41.972151, -87.701251]",170310403003,170310403003
99,99,[170 -02] 37794,On W Arthur Ave From N Troy St To N Albany Ave,2016-2020,W Arthur Ave And N Troy St,W Arthur Ave And N Albany Ave,"[41.999239, -87.708247]","[41.999248, -87.707029]",170310203012,170310206012
100,100,[170 -02] 37794,On W Barry Ave From N Springfield Ave To N Davlin Ct,2016-2020,W Barry Ave And N Springfield Ave,W Barry Ave And N Davlin Ct,"[41.9373185, -87.7259059]","[41.936691, -87.724922]",170312105012,170312105012
101,101,[170 -02] 37794,On W Carmen Ave From N Ravenswood Ave To N Paulina St,2016-2020,W Carmen Ave And N Ravenswood Ave,W Carmen Ave And N Paulina St,"[41.974253, -87.6743631]","[41.88322830200195, -87.63240051269531]",170310404021,170318391001
102,102,[170 -02] 37794,On W Jackson Blvd From S California Ave To S Francisco Ave,2016-2020,W Jackson Blvd And S California Ave,W Jackson Blvd And S Francisco Ave,"[41.877461, -87.696199]","[41.877434, -87.698659]",170318370001,170318370001
103,103,[170 -02] 37794,On W Madison St From N Waller Ave To N Mason Ave,2016-2020,W Madison St And N Waller Ave,W Madison St And N Mason Ave,"[41.880259, -87.768081]","[41.880172, -87.77319]",170312520002,170312520003
104,104,[170 -02] 37794,On W Palmer St From N Cicero Ave To N Kilpatrick Ave,2016-2020,W Palmer St And N Cicero Ave,W Palmer St And N Kilpatrick Ave,"[41.920602, -87.746281]","[41.9206205, -87.7437499]",170311911001,170311910001
105,105,[170 -02] 37794,On W Peterson Ave From N Harlem Ave To N Oconto Ave,2016-2020,W Peterson Ave And N Harlem Ave,W Peterson Ave And N Oconto Ave,"[41.9900141, -87.8068995]","[41.9899373, -87.8083246]",170311003006,170311003002
106,106,[170 -02] 37794,On W Railroad Ave From S Mason Ave To S Austin Blvd,2016-2020,W Railroad Ave And S Mason Ave,W Railroad Ave And S Austin Blvd,"[41.8703549, -87.773096]","[41.870421, -87.7742081]",170318314002,170318314002
107,107,[170 -02] 37794,On W Roscoe St From N Greenview Ave To N Janssen Ave,2016-2020,W Roscoe St And N Greenview Ave,W Roscoe St And N Janssen Ave,"[41.943378, -87.666325]","[41.943413, -87.665107]",170310624001,170318319001
108,108,[170 -02] 37794,On S St. Louis Ave. From W 81st Pl To W Columbus Ave,2016-2020,S St. Louis Ave. And W 81st Pl,S St. Louis Ave. And W Columbus Ave,"[41.74515, -87.709606]","[41.745012, -87.709608]",170317004011,170317004011
109,109,[170 -02] 37794,On W 81st St From S Kilpatrick Ave To S Keating Ave,2016-2020,W 81st St And S Kilpatrick Ave,W 81st St And S Keating Ave,"[41.7457647, -87.7386949]","[41.7456489, -87.7395304]",170317003013,170317003013
110,110,[170 -02] 37794,On S St Louis Ave From W 77th St To W 78th St,2016-2020,S St Louis Ave And W 77th St,S St Louis Ave And W 78th St,"[41.7533332, -87.7098137]","[41.7515163, -87.70976]",170317001001,170317001001
111,111,[170 -02] 37794,On S Clark St From W 18th St To W 19th St,2016-2020,S Clark St And W 18th St,S Clark St And W 19th St,"[41.857787, -87.630227]","[41.8566043, -87.6301841]",170313302002,170313302002
112,112,[170 -02] 37794,On S Princeton Ave From W 59th Pl To W 60th St,2016-2020,S Princeton Ave And W 59th Pl,S Princeton Ave And W 60th St,"[41.786347, -87.632804]","[41.785459, -87.63276]",170318346003,170318346003
113,113,[170 -02] 37794,N Keating Ave And W Devon Ave,2016-2020,N Keating Ave And W Devon Ave,None,"[41.997193, -87.747144]",None,170311203006,None
114,114,[170 -02] 37794,On E 61st St From S Langley Ave To S Rhodes Ave,2016-2020,E 61st St And S Langley Ave,E 61st St And S Rhodes Ave,"[41.784003, -87.608487]","[41.7839396, -87.612074]",170314205001,170314206002
115,115,[170 -02] 37794,On E 88th St From S Euclid Ave To S Bennett Ave,2016-2020,E 88th St And S Euclid Ave,E 88th St And S Bennett Ave,"[41.735217, -87.576897]","[41.735215, -87.578129]",170314801002,170314801002
116,116,[170 -02] 37794,On N Bernard St From W Belmont Ave To W Barry Ave,2016-2020,N Bernard St And W Belmont Ave,N Bernard St And W Barry Ave,"[41.939265, -87.713737]","[41.937466, -87.713664]",170318311001,170312106013
117,117,[170 -02] 37794,On N Clybourn Ave From W Webster Ave To N Greenview Ave,2016-2020,N Clybourn Ave And W Webster Ave,N Clybourn Ave And N Greenview Ave,"[41.921633, -87.664404]","[41.922589, -87.665745]",170318325001,170318325001
118,118,[170 -02] 37794,On N Davlin Ct From W Barry Ave To W Wellington Ave,2016-2020,N Davlin Ct And W Barry Ave,N Davlin Ct And W Wellington Ave,"[41.936691, -87.724922]","[41.9354422, -87.72612575]",170312105012,170312105012
119,119,[170 -02] 37794,On N Greenview Ave From W Belmont Ave To W Henderson St,2016-2020,N Greenview Ave And W Belmont Ave,N Greenview Ave And W Henderson St,"[41.939759, -87.666235]","[41.942503, -87.666305]",170310624001,170310624001
120,120,[170 -02] 37794,On N Harding Ave From W Barry Ave To W Belmont Ave,2016-2020,N Harding Ave And W Barry Ave,N Harding Ave And W Belmont Ave,"[41.9373185, -87.7259059]","[41.939132, -87.725956]",170312105012,170318311003
121,121,[170 -02] 37794,On N Oconto Ave From W Peterson Ave To W Thorndale Ave,2016-2020,N Oconto Ave And W Peterson Ave,N Oconto Ave And W Thorndale Ave,"[41.9899373, -87.8083246]","[41.9877644, -87.8083494]",170311003002,170311003002
